lowerLambda1,upperLambda1,lowerLambda2,upperLambda2,lowerMu1,upperMu1,lowerMu2,upperMu2,lowerFlatQMatrix1,upperFlatQMatrix1,lowerFlatQMatrix2,upperFlatQMatrix2,lowerFlatQMatrix3,upperFlatQMatrix3,lowerFlatQMatrix4,upperFlatQMatrix4,file
1.04808301174711,1.27407668366434,1.04755144994569,1.2744091876904,1.03046588019206,1.25818772204413,1.04349086822375,1.27175823555667,1.05734822098344,1.27365096048472,1.06006855006796,1.2768793242394,1.04518500601059,1.27687236577131,1.04083500470559,1.27324095246819,bisse42
1.07401776344309,1.29070437935518,1.05640541120129,1.28130297275517,1.04681382654644,1.26364425397562,1.05260924542639,1.28012449336383,1.061085674428,1.2760634960624,1.03766734499349,1.2581491457851,1.07141896695712,1.28922885802296,1.05315244501017,1.27437872181257,bisse43
1.04036110660686,1.27026037764507,1.0624371244219,1.29121062650692,1.05194635372579,1.27879314922202,1.0506470181824,1.2711841425169,1.06448345937008,1.2831576498135,1.0502072285606,1.2593535266157,1.04873330798236,1.28116271171127,1.04739379018875,1.28147816151522,bisse44
1.05790586715907,1.27123713984462,1.05242912534328,1.27755235775001,1.0518050509765,1.26336775441999,1.05830560036359,1.27260648441094,1.05440461916199,1.27289380513416,1.03950331086352,1.26180351056971,1.05844345589254,1.28655455105078,1.05607914263199,1.28899420171252,bisse45
1.04374154983032,1.26812481651389,1.05045902987765,1.27186996507883,1.06063842031462,1.28300718200886,1.04846996894533,1.26400158999865,1.04348157031753,1.27258890415358,1.05893548249947,1.27235909000089,1.05880687079898,1.29049275143186,1.06248411377597,1.27979840576188,bisse46
1.07823103166813,1.29805082857756,1.06334234421258,1.29279769502505,1.03203624147868,1.24975992162505,1.04292092675721,1.26607069244297,1.05272757789365,1.28361975389265,1.03401471147718,1.24865538330663,1.06179270455786,1.28389914022376,1.0390504779754,1.27125760305267,bisse47
1.06009685908569,1.27259630237221,1.06130966505419,1.28797138421729,1.04802617681041,1.26760874426915,1.03982966467169,1.26633682277415,1.06591828433504,1.27665101822713,1.06147412385119,1.28465336580181,1.04902733207726,1.28299686359882,1.05078187025382,1.27910889010245,bisse48
1.0529741574496,1.28068544740316,1.078852174052,1.30276189534435,1.05406659276556,1.27502090072664,1.0407282326351,1.25897966994885,1.05193943360977,1.26935859357953,1.05900715575715,1.27941589848611,1.03873552360727,1.26506303772507,1.05304801409082,1.27239994536092,bisse49
1.05332623993616,1.2747348292094,1.06327517393498,1.28613182963663,1.05406012313982,1.27576554978535,1.04127922708691,1.26008309386858,1.05506139872004,1.28133682912897,1.04453372877538,1.27313017101821,1.03866685499265,1.26803606134147,1.04689504781195,1.272942680866,bisse50
1.07668309647196,1.30203308617206,1.06564594950157,1.2830272137952,1.0443242458588,1.25542738896788,1.03038657512288,1.25620458954471,1.06880148535863,1.3039707327139,1.0496004535616,1.26874701771385,1.04622197889073,1.26295536857477,1.04844560475101,1.27485860624929,bisse51
1.0635251560929,1.28257838592325,1.05803336204234,1.26479884695549,1.05858964049053,1.27134031843291,1.05642604654417,1.28224605849009,1.04273113427627,1.27220870958829,1.05405256722169,1.28102982362152,1.04781177343347,1.2648232712467,1.04866347767566,1.27698765659768,bisse52
1.06967435800206,1.28843638599904,1.06477479395088,1.28138883268834,1.04289737786862,1.27109124739252,1.04178329730625,1.26488263657986,1.05464847575384,1.28385324768094,1.04176580882017,1.25339441265856,1.04285435376019,1.27288681701771,1.04961357892028,1.26902764754571,bisse53
1.05857433191233,1.29249323219176,1.06712830648655,1.29173745011266,1.04512333529852,1.26543197466661,1.04901682149312,1.27346523402994,1.04970601861656,1.28926578016313,1.04432167835078,1.26210051578803,1.05105394157321,1.28929473768825,1.05001562334735,1.27022390721205,bisse54
